Name	Start	Duration	Time Format	Type	Description
1a	0:04.995	0:00.000	decimal	Cue	
1b	0:06.641	0:00.000	decimal	Cue	
1c	0:11.576	0:00.000	decimal	Cue	
2a	0:23.035	0:00.000	decimal	Cue	
2b	0:24.377	0:00.000	decimal	Cue	
2c	0:29.112	0:00.000	decimal	Cue	
ea	0:40.000	0:00.000	decimal	Cue	
eb	0:50.000	0:00.000	decimal	Cue	
